HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
"Archie",2018,"m"
"Archie",2012,"m"
"Arco",2007,"m"
"Arco",2017,"m"
"Are",2015,"m"
"Ares",2011,"m"
"Ares",2004,"m"
"Ares (Bianco of Sunset)",2018,"m"
"Argo",2013,"m"
"Argo",2012,"m"
"Argo",2017,"m"
"Argo",2013,"m"
"Argo vom Buechlisberg",2012,"m"
"Arguitos",2014,"m"
"Ari",2014,"m"
"Ari",2011,"w"
"Ari",2013,"m"
"Ari",2010,"m"
"Aria",2018,"w"
"Aria",2018,"w"
"Aria Anita Dennis",2016,"w"
"Ariel (Paperlapap's Joker)",2017,"m"
"Aries",2012,"m"
"Arilla",2015,"w"
"Aris",2017,"m"
"Aris-Rainer",2017,"m"
"Aristo",2010,"m"
"Arka",2006,"w"
"Arkas",2011,"m"
"Arko",2015,"m"
"Arko",2016,"m"
"Arktis (Avik of Jakutsk)",2007,"m"
"Arla",2013,"w"
"Arlette Siberiah Imi Jinsei",2014,"w"
"Arlo",2008,"m"
"Arlo",2015,"m"
"Arlo (Luc)",2014,"m"
"Armani",2016,"m"
"Armani",2014,"m"
"Armani",2013,"m"
"Armani by Clan Ferona",2016,"m"
"Armani the Limited Edition",2012,"m"
"Arni",2012,"m"
"Arnold",2014,"m"
"Aro (Tomba v. Försterhaus)",2015,"m"
"Aron",2018,"m"
"Aron",2018,"m"
"Aron",2005,"m"
"Aron",2010,"m"
"Aron",2012,"m"
"Aron",2015,"m"
"Aron Dehiani",2013,"m"
"Aron von Paradisli",2007,"m"
"Arrow",2012,"m"
"Arsenij",2011,"m"
"Artair",2013,"m"
"Artemis",2010,"w"
"Arthur",2012,"m"
"Arthur",2013,"m"
"Arthur",2009,"m"
"Arthus",2009,"m"
"Arti",2017,"m"
"Artic Aivik Dynamic Aruk",2010,"m"
"Artis",2018,"m"
"Arton",2008,"m"
"Artschi",2018,"m"
"Artu",2012,"m"
"Arturo",2013,"m"
"Arturo",2017,"m"
"Artus",2008,"m"
"Artus",2015,"m"
"Artù",2016,"m"
"Ary",2014,"m"
"Arya",2018,"w"
"Arya",2016,"w"
"Arya",2014,"w"
"Asco",2010,"m"
"Asco (Aristorrat)",2008,"m"
"Asena",2017,"w"
"Ashbury Happy Sunshine",2012,"w"
"Asimov",2016,"m"
"Aska",2010,"w"
"Aska",2013,"w"
"Askari",2005,"m"
"Askella",2015,"w"
"Asla",2010,"w"
"Aslan",2014,"m"
"Aspel de Jabel",2016,"m"
"Asslan",2017,"m"
"Asta",2007,"w"
"Asthon",2012,"m"
"Aston",2015,"m"
"Astro",2015,"m"
"Atala-Gretchen",2017,"w"
"Athos",2016,"m"
"Athos",2014,"m"
"Athos Chips",2008,"m"
"Athos Porthos",2016,"m"
"Atila",2011,"w"
"Atina",2016,"w"
"Atlas Buyuni Savuti",2017,"w"
"Atos",2018,"m"
"Atos",2011,"m"
"Atreju (Anpaytoo)",2008,"m"
"Atza",2016,"w"
"Audrey",2008,"w"
"Aura-Akira",2016,"w"
"Aurel",2016,"m"
"Aurel",2013,"m"
"Aurelie",2011,"w"
"Auris",2017,"m"
"Auron",2011,"m"
"Aurora vom Wyhental",2013,"w"
"Auzzy Zeus Foster",2010,"m"
"Ava",2016,"w"
"Avalon-Joya",2014,"w"
"Avani",2012,"w"
"Avery",2013,"m"
"Awa",2018,"w"
"Awanis Ira Leila",2017,"w"
"Axel",2006,"m"
"Axel von Burg Schwärtzenberg",2011,"m"
"Aya",2015,"w"
"Ayala Diva Lucy",2017,"w"
"Ayana",2012,"w"
"Ayana",2014,"w"
"Ayco",2011,"m"
"Ayko",2013,"m"
"Ayko v. Goliwil",2017,"m"
"Ayla",2015,"w"
"Ayla",2017,"w"
"Ayla",2004,"w"
"Ayla",2017,"w"
"Ayla",2007,"w"
"Ayla",2010,"w"
"Ayra vom Teckberg",2017,"w"
"Aysha",2007,"w"
"Aysha (Alya)",2008,"w"
"Ayumi",2016,"w"
"Ayumi",2012,"w"
"Ayumi",2014,"w"
"Ayusha vom Maieriesli",2013,"w"
"Azan (Viserion Aglow)",2015,"m"
"Azim",2009,"m"
"Azira vom Mühlibach",2009,"w"
"Azor",2015,"m"
"Azzurra",2012,"w"
"Azzurro",2017,"m"
"Azzurro",2009,"m"
"Azzy",2012,"w"
"B'sai",2005,"w"
"B-Nibiru",2013,"w"
"Babalu",2016,"m"
"Babou",2013,"w"
"Babu (Udo von Tannenthalbad)",2007,"m"
"Babuschka",2009,"w"
"Baby",2012,"w"
"Baby",2013,"w"
"Baby June",2012,"w"
"Bachata",2006,"w"
"Badjo",2004,"m"
"Bado",2011,"m"
"Badou",2012,"w"
"Baffy",2013,"m"
"Bafi vom  Füllern",2009,"w"
"Bagel",2015,"m"
"Bagheera",2007,"w"
"Baghira",2015,"w"
"Bagus",2016,"m"
"Bahia Joy",2016,"w"
"Baija",2011,"w"
"Baika",2013,"w"
"Baika (Bossa)",2006,"w"
"Baika fidelis anima",2015,"w"
"Baila",2013,"w"
"Bailey",2008,"m"
"Bailey",2005,"w"
"Bailey",2013,"w"
"Bailey",2014,"w"
"Bailey",2008,"w"
"Bailey",2018,"m"
"Baileys",2011,"m"
"Baileys",2015,"m"
"Baileys Bambi",2011,"w"
"Baily",2006,"m"
"Baily (Filou)",2018,"m"
"Baira von der Biberfalle",2016,"w"
"Bajah",2017,"w"
"Bakari",2008,"m"
"Bako",2009,"m"
"Bakonyi-Dròtos Indigo-Rusty",2017,"w"
"Baksik",2010,"m"
"Balduin",2014,"m"
"Baldur",2010,"m"
"Balim",2013,"w"
"Balloo",2014,"w"
"Ballou",2015,"m"
"Bally",2016,"w"
"Bally",2016,"w"
"Baloo",2017,"m"
"Baloo",2017,"m"
"Baloo",2016,"m"
"Baloo",2010,"m"
"Baloo",2015,"m"
"Baloo",2005,"m"
"Balosch",1998,"m"
"Balou",2013,"m"
"Balou",2009,"m"
"Balou",2013,"m"
"Balou",2017,"m"
"Balou",2018,"m"
"Balou",2008,"m"
"Balou",2010,"m"
"Balou",2006,"m"
"Balou",2012,"m"
"Balou (Blade)",2018,"m"
"Balou (Dschowo's Julio)",2013,"m"
"Balou v. Kopfrein",2018,"m"
"Balou von Tay Pan",2016,"m"
"Balu",2018,"m"
"Balu",2016,"m"
"Balu",2018,"m"
"Balu",2011,"m"
"Balu",2011,"m"
"Balu",2011,"m"
"Balu",2013,"m"
"Balu",2013,"m"
"Balu",2010,"m"
"Balu",2014,"m"
"Balu",2016,"m"
"Balu",2007,"m"
"Balu",2015,"m"
"Balu",2015,"m"
"Balu",2016,"m"
"Balu",2017,"m"
"Balu",2017,"m"
"Balu",2017,"m"
"Balu (Happy Balu)",2014,"m"
"Balu (Hathi)",2013,"w"
"Balu (Orion)",2014,"m"
"Balu (Speedy)",2007,"m"
"Balu Lancelot",2015,"m"
"Baly (Newton)",2007,"m"
"Bambam",2010,"m"
"Bambam",2017,"m"
"Bambi",2008,"m"
"Bambi",2017,"w"
"Bambi",2005,"m"
"Bambi (Naomi)",2006,"w"
"Bamble Bee (Taiga)",2010,"w"
"Ban",2017,"m"
"Banana",2003,"w"
"Bandit",2007,"m"
"Bandita",2017,"w"
"Bandita",2009,"w"
"Banga",2012,"m"
"Bango (Luna)",2007,"w"
"Barabas",2005,"m"
"Barby",2017,"w"
"Barfi",2012,"m"
"Barholomeus",2004,"m"
"Baris-Lesli",2012,"m"
"Barley",2018,"m"
"Barney",2012,"m"
"Barney",2017,"m"
"Barney",2012,"m"
"Barney",2012,"m"
"Barney (Leo vom Ammeler)",2011,"m"
"Baro",2018,"m"
"Baron",2008,"m"
"Baronessa",2012,"w"
"Barro",2015,"m"
"Barry White",2015,"m"
"Barry aus dem Dudelsack",2011,"m"
"Bartok",2012,"m"
"Barzoi",2006,"m"
"Basil",2009,"m"
"Basil",2018,"m"
"Basil",2007,"m"
"Basil",2017,"m"
"Basil",2009,"m"
"Basil (Best)",2006,"m"
"Basko",2016,"m"
"Basko",2017,"m"
"Baslis Hermes vom Moosacher",2011,"m"
"Bass",2011,"m"
"Bastille",2002,"w"
"Batman",2013,"m"
"Bato (Ivan)",2017,"m"
"Bator",2009,"m"
"Batuuli",2017,"m"
"Bay",2017,"m"
"Bay",2016,"w"
"Bea",2009,"w"
"Beam",2017,"m"
"Bean",2017,"m"
"Bear",2015,"m"
"Bearly v. Weinhäusel",2013,"w"
"Beatle",2015,"m"
"Beau",2009,"m"
"Beauty",2018,"w"
"Beauté",2012,"w"
"Beba",2017,"w"
"Becky",2009,"w"
"Bee",2018,"w"
"Beemo",2014,"w"
"Beeny",2015,"w"
"Beetle (Nebu)",2011,"m"
"Beija",2013,"w"
"Beiko",2009,"m"
"Bekas",2011,"m"
"Bel Ami",2005,"m"
"Bela",2016,"m"
"Belette",2006,"w"
"Beli",2017,"m"
"Belinda",2014,"w"
"Belinha",2011,"w"
"Belka",2014,"w"
